GeoFips,GeoName,LineCode,IndustryName
15000,Hawaii,11,Real GDP by state: Construction (23)
15000,Hawaii,12,Real GDP by state: Manufacturing (31-33)
15000,Hawaii,13,"Real GDP by state: Durable goods manufacturing (321,327-339)"
15000,Hawaii,2,Real GDP by state: Private industries
15000,Hawaii,25,"Real GDP by state: Nondurable goods manufacturing (311-316,322-326)"
15000,Hawaii,3,"Real GDP by state: Agriculture, forestry, fishing and hunting (11)"
15000,Hawaii,34,Real GDP by state: Wholesale trade (42)
15000,Hawaii,35,Real GDP by state: Retail trade (44-45)
15000,Hawaii,36,Real GDP by state: Transportation and warehousing (48-49)
15000,Hawaii,45,Real GDP by state: Information (51)
15000,Hawaii,51,Real GDP by state: Finance and insurance (52)
15000,Hawaii,56,Real GDP by state: Real estate and rental and leasing (53)
15000,Hawaii,6,"Real GDP by state: Mining, quarrying, and oil and gas extraction (21)"
15000,Hawaii,60,"Real GDP by state: Professional, scientific, and technical services (54)"
15000,Hawaii,64,Real GDP by state: Management of companies and enterprises (55)
15000,Hawaii,65,Real GDP by state: Administrative and support and waste management and remediation services (56)
15000,Hawaii,69,Real GDP by state: Educational services (61)
15000,Hawaii,70,Real GDP by state: Health care and social assistance (62)
15000,Hawaii,76,"Real GDP by state: Arts, entertainment, and recreation (71)"
15000,Hawaii,79,Real GDP by state: Accommodation and food services (72)
15000,Hawaii,82,Real GDP by state: Other services (except government and government enterprises) (81)
15000,Hawaii,83,Real GDP by state: Government and government enterprises (92)
15000,Hawaii,84,Real GDP by state: Federal civilian
15000,Hawaii,85,Real GDP by state: Military
15000,Hawaii,86,Real GDP by state: State and local
16000,Idaho,1,Real GDP by state: All industry total
16000,Idaho,10,Real GDP by state: Utilities (22)
16000,Idaho,11,Real GDP by state: Construction (23)
16000,Idaho,12,Real GDP by state: Manufacturing (31-33)
16000,Idaho,13,"Real GDP by state: Durable goods manufacturing (321,327-339)"
16000,Idaho,2,Real GDP by state: Private industries
16000,Idaho,25,"Real GDP by state: Nondurable goods manufacturing (311-316,322-326)"
16000,Idaho,3,"Real GDP by state: Agriculture, forestry, fishing and hunting (11)"
16000,Idaho,34,Real GDP by state: Wholesale trade (42)
16000,Idaho,35,Real GDP by state: Retail trade (44-45)
16000,Idaho,36,Real GDP by state: Transportation and warehousing (48-49)
16000,Idaho,45,Real GDP by state: Information (51)
16000,Idaho,51,Real GDP by state: Finance and insurance (52)
16000,Idaho,56,Real GDP by state: Real estate and rental and leasing (53)
16000,Idaho,6,"Real GDP by state: Mining, quarrying, and oil and gas extraction (21)"
16000,Idaho,60,"Real GDP by state: Professional, scientific, and technical services (54)"
16000,Idaho,64,Real GDP by state: Management of companies and enterprises (55)
16000,Idaho,65,Real GDP by state: Administrative and support and waste management and remediation services (56)
16000,Idaho,69,Real GDP by state: Educational services (61)
16000,Idaho,70,Real GDP by state: Health care and social assistance (62)
16000,Idaho,76,"Real GDP by state: Arts, entertainment, and recreation (71)"
16000,Idaho,79,Real GDP by state: Accommodation and food services (72)
16000,Idaho,82,Real GDP by state: Other services (except government and government enterprises) (81)
16000,Idaho,83,Real GDP by state: Government and government enterprises (92)
16000,Idaho,84,Real GDP by state: Federal civilian
16000,Idaho,85,Real GDP by state: Military
16000,Idaho,86,Real GDP by state: State and local
17000,Illinois,1,Real GDP by state: All industry total
17000,Illinois,10,Real GDP by state: Utilities (22)
17000,Illinois,11,Real GDP by state: Construction (23)
17000,Illinois,12,Real GDP by state: Manufacturing (31-33)
17000,Illinois,13,"Real GDP by state: Durable goods manufacturing (321,327-339)"
17000,Illinois,2,Real GDP by state: Private industries
17000,Illinois,25,"Real GDP by state: Nondurable goods manufacturing (311-316,322-326)"
17000,Illinois,3,"Real GDP by state: Agriculture, forestry, fishing and hunting (11)"
17000,Illinois,34,Real GDP by state: Wholesale trade (42)
17000,Illinois,35,Real GDP by state: Retail trade (44-45)
17000,Illinois,36,Real GDP by state: Transportation and warehousing (48-49)
17000,Illinois,45,Real GDP by state: Information (51)
17000,Illinois,51,Real GDP by state: Finance and insurance (52)
17000,Illinois,56,Real GDP by state: Real estate and rental and leasing (53)
17000,Illinois,6,"Real GDP by state: Mining, quarrying, and oil and gas extraction (21)"
17000,Illinois,60,"Real GDP by state: Professional, scientific, and technical services (54)"
17000,Illinois,64,Real GDP by state: Management of companies and enterprises (55)
17000,Illinois,65,Real GDP by state: Administrative and support and waste management and remediation services (56)
17000,Illinois,69,Real GDP by state: Educational services (61)
17000,Illinois,70,Real GDP by state: Health care and social assistance (62)
17000,Illinois,76,"Real GDP by state: Arts, entertainment, and recreation (71)"
17000,Illinois,79,Real GDP by state: Accommodation and food services (72)
17000,Illinois,82,Real GDP by state: Other services (except government and government enterprises) (81)
17000,Illinois,83,Real GDP by state: Government and government enterprises (92)
17000,Illinois,84,Real GDP by state: Federal civilian
17000,Illinois,85,Real GDP by state: Military
17000,Illinois,86,Real GDP by state: State and local
18000,Indiana,1,Real GDP by state: All industry total
18000,Indiana,10,Real GDP by state: Utilities (22)
18000,Indiana,11,Real GDP by state: Construction (23)
18000,Indiana,12,Real GDP by state: Manufacturing (31-33)
18000,Indiana,13,"Real GDP by state: Durable goods manufacturing (321,327-339)"
18000,Indiana,2,Real GDP by state: Private industries
18000,Indiana,25,"Real GDP by state: Nondurable goods manufacturing (311-316,322-326)"
18000,Indiana,3,"Real GDP by state: Agriculture, forestry, fishing and hunting (11)"
18000,Indiana,34,Real GDP by state: Wholesale trade (42)
18000,Indiana,35,Real GDP by state: Retail trade (44-45)
18000,Indiana,36,Real GDP by state: Transportation and warehousing (48-49)
18000,Indiana,45,Real GDP by state: Information (51)
18000,Indiana,51,Real GDP by state: Finance and insurance (52)
18000,Indiana,56,Real GDP by state: Real estate and rental and leasing (53)
18000,Indiana,6,"Real GDP by state: Mining, quarrying, and oil and gas extraction (21)"
18000,Indiana,60,"Real GDP by state: Professional, scientific, and technical services (54)"
18000,Indiana,64,Real GDP by state: Management of companies and enterprises (55)
18000,Indiana,65,Real GDP by state: Administrative and support and waste management and remediation services (56)
18000,Indiana,69,Real GDP by state: Educational services (61)
18000,Indiana,70,Real GDP by state: Health care and social assistance (62)
18000,Indiana,76,"Real GDP by state: Arts, entertainment, and recreation (71)"
18000,Indiana,79,Real GDP by state: Accommodation and food services (72)
18000,Indiana,82,Real GDP by state: Other services (except government and government enterprises) (81)
18000,Indiana,83,Real GDP by state: Government and government enterprises (92)
18000,Indiana,84,Real GDP by state: Federal civilian
18000,Indiana,85,Real GDP by state: Military
18000,Indiana,86,Real GDP by state: State and local
19000,Iowa,1,Real GDP by state: All industry total
